date,always tired,am i depressed,chronic depression,clinical depression,crying for no reason,depression coping,depression diagnosis,depression diet,depression exercise,depression fatigue,depression in adults,depression in men,depression in women,depression insomnia,depression quiz,depression scale,depression screening,depression symptoms,depression test,depression weight loss,feeling empty,major depression,no motivation,seasonal depression,severe depression,signs of depression,sleeping too much
2022-04,80.13,19.03,22.31,33.93,76.88,75.83,21.67,81.44,83.16,70.94,53.47,74.34,80.1,83.06,9.97,72.46,51.37,86.27,33.43,68.75,78.07,78.07,34.0,42.23,39.57,33.13,21.9
2022-05,86.52,19.55,23.97,38.19,78.54,88.73,20.44,76.9,85.2,82.14,55.05,73.7,74.72,87.92,10.25,71.92,56.7,87.26,33.87,78.57,74.52,72.68,31.83,34.96,45.23,36.0,22.43
2022-06,85.17,22.17,36.08,49.97,82.35,88.33,30.42,80.2,97.14,81.94,65.86,82.48,76.37,98.5,11.88,72.7,73.11,88.1,33.37,80.0,73.54,76.53,25.59,50.05,57.83,37.57,22.7
2022-07,78.52,21.61,43.0,51.29,78.4,94.33,31.78,98.0,89.67,75.46,76.4,77.77,72.82,86.5,10.52,73.72,66.4,86.84,31.81,83.33,79.21,75.68,19.41,53.5,55.94,36.81,20.33
2022-08,82.84,21.1,35.72,59.39,72.52,87.5,35.17,100.0,90.62,91.67,66.36,65.0,67.43,85.5,9.83,73.88,74.77,88.71,32.9,98.75,82.09,77.61,24.31,73.48,60.45,36.68,21.1
2022-09,83.03,19.4,31.42,47.7,73.37,67.46,27.76,88.14,81.4,92.11,67.5,77.5,58.73,88.57,8.5,74.28,63.67,85.83,32.4,80.93,79.35,76.1,30.27,74.9,50.33,34.07,22.63
2022-10,79.48,16.52,28.38,48.06,76.26,82.36,24.69,80.9,69.15,78.64,58.09,78.78,36.48,81.5,8.57,77.79,73.24,84.23,28.81,83.31,71.84,72.0,32.61,75.13,47.9,33.23,22.43
2022-11,83.23,18.07,26.93,40.17,81.52,74.69,24.23,76.33,85.93,83.67,68.48,78.29,30.54,91.86,9.93,74.2,54.39,86.23,32.0,80.58,71.72,71.87,36.52,80.2,43.5,35.07,22.13
2022-12,79.26,19.39,29.89,43.76,74.72,85.45,25.65,56.5,85.94,84.14,52.94,76.9,37.23,89.8,8.81,80.24,58.81,85.45,31.26,79.4,79.92,69.17,32.5,82.35,50.45,35.23,27.45
2023-01,84.9,22.32,28.07,46.13,65.81,88.36,21.73,88.86,81.25,89.89,60.79,76.46,48.33,94.33,11.64,73.88,60.35,89.94,36.84,78.92,77.41,75.93,31.94,85.45,47.84,39.0,30.03
2023-02,85.64,17.18,20.65,45.96,73.33,82.47,20.28,82.57,79.2,84.5,48.4,69.69,68.43,82.42,10.18,74.73,60.41,86.82,32.68,81.64,79.0,62.11,33.46,66.68,34.43,33.29,23.85
2023-03,82.81,18.45,23.86,40.55,75.44,74.9,21.1,78.57,79.0,88.27,51.96,78.93,75.52,90.64,10.4,75.14,54.16,87.26,31.97,75.47,83.44,78.35,32.35,59.03,41.32,35.65,20.29
2023-04,85.37,17.03,24.03,37.13,71.85,78.11,25.42,80.15,77.76,75.5,59.72,71.69,68.03,82.85,8.71,78.08,63.36,85.37,29.5,69.87,81.32,76.37,37.53,40.46,42.93,32.43,24.93
2023-05,85.94,19.1,26.78,36.29,75.75,83.31,23.68,82.83,74.31,94.82,52.62,71.96,70.93,89.2,9.26,69.73,57.89,87.35,30.16,76.27,79.14,74.13,31.16,41.0,39.84,34.77,24.39
2023-06,79.7,20.63,35.71,53.63,79.13,94.14,31.39,92.88,81.4,90.11,60.42,78.0,78.04,90.36,10.43,76.41,69.77,87.37,31.03,81.06,79.37,81.47,25.07,52.21,55.07,34.77,21.7
2023-07,84.84,20.42,38.58,54.63,77.11,91.6,39.43,97.8,94.83,90.29,77.6,81.12,79.58,95.0,9.88,68.18,66.29,87.58,34.39,79.12,75.38,78.13,25.5,64.5,60.32,36.03,25.45
2023-08,83.03,21.19,37.15,56.55,79.79,94.75,31.07,90.33,98.0,92.44,81.75,89.23,69.81,97.67,10.43,73.16,74.32,87.94,35.97,95.0,82.73,75.94,24.7,69.08,56.19,34.61,22.42
2023-09,88.63,18.77,35.21,45.57,79.05,86.9,30.64,89.0,84.94,92.11,73.29,75.77,62.66,92.43,8.71,75.48,77.37,86.53,34.33,77.0,81.93,77.5,37.4,74.4,52.23,36.37,24.28
2023-10,80.61,17.06,28.93,39.97,67.41,87.61,29.61,97.8,77.22,91.29,63.9,78.78,44.26,90.18,8.93,67.91,62.48,82.84,33.45,81.58,84.29,77.03,38.87,71.61,45.13,32.74,23.8
2023-11,81.57,16.43,26.46,36.03,76.56,74.12,25.76,76.83,83.31,85.0,56.35,75.73,34.79,78.3,7.79,73.08,65.4,83.87,33.73,85.56,75.46,72.83,41.24,79.9,42.14,31.9,24.63
2023-12,83.61,17.68,27.6,37.4,75.26,84.0,21.5,82.73,74.07,74.88,53.29,74.76,41.91,89.17,9.71,76.3,60.47,80.45,36.1,90.25,83.37,75.83,37.27,81.1,45.16,30.32,28.42
2024-01,85.81,19.9,27.81,36.81,82.35,86.18,24.86,81.83,88.14,99.4,47.44,73.45,40.18,85.5,9.81,79.17,75.4,84.74,40.39,91.38,75.38,75.03,33.19,78.81,45.84,34.35,30.35
2024-02,84.17,18.21,27.96,37.59,78.1,85.23,25.81,73.92,77.95,86.38,56.38,77.15,72.57,79.91,8.83,78.09,68.09,84.21,37.31,91.12,80.96,79.86,39.1,66.0,44.62,31.9,26.29
2024-03,77.9,15.58,23.3,30.74,81.88,82.0,21.34,77.43,76.56,81.82,47.3,69.47,72.77,90.17,9.53,70.52,60.68,84.52,39.19,96.67,75.44,71.26,35.0,45.59,39.0,33.13,23.0
2024-04,84.63,12.6,23.86,33.0,81.89,84.6,23.41,69.67,82.89,84.0,53.59,76.83,76.33,94.75,6.7,76.88,55.22,64.6,47.17,93.0,75.28,76.77,37.9,34.44,40.3,23.03,22.54
2024-05,84.03,20.94,26.89,35.17,86.73,91.92,22.52,67.8,81.92,83.83,59.16,75.82,67.07,94.25,9.57,76.35,60.35,78.68,55.52,83.0,80.18,74.61,28.9,45.29,41.1,32.42,21.87
2024-06,82.03,18.13,35.16,41.33,81.11,95.0,28.24,85.33,82.56,95.25,67.18,84.85,74.53,89.0,11.0,74.88,71.29,82.87,43.6,86.33,82.1,73.37,27.53,50.44,50.1,32.93,22.79
2024-07,86.16,20.1,42.28,46.55,77.58,95.75,35.91,58.0,90.4,95.0,66.75,76.32,70.69,100.0,10.33,76.32,66.0,87.32,42.39,90.33,79.17,78.71,28.17,51.54,63.48,34.94,25.4
2024-08,83.42,21.35,37.27,43.5,87.69,100.0,31.84,85.0,96.71,96.5,65.0,77.16,72.19,93.0,13.33,63.24,67.6,86.9,43.87,89.5,82.88,74.97,28.1,56.33,52.26,33.32,23.58
2024-09,83.37,19.77,34.97,40.76,74.32,79.2,26.48,85.29,72.06,87.5,57.14,71.8,61.79,90.38,8.6,74.58,63.47,85.93,39.1,80.75,70.87,76.6,36.47,70.96,46.37,34.87,23.47
2024-10,81.32,17.55,29.62,35.48,76.1,86.28,28.55,88.5,71.74,85.7,58.17,73.22,57.0,88.5,8.2,69.81,71.44,84.23,40.13,87.88,73.42,75.81,44.19,76.23,46.45,32.68,22.03
2024-11,79.13,18.3,27.62,32.9,80.94,80.77,25.11,80.5,84.0,91.14,57.27,71.44,36.83,99.0,10.18,70.84,57.52,82.3,41.7,73.6,66.96,71.7,43.69,78.87,42.37,31.77,25.24
2024-12,82.74,18.65,30.08,33.52,85.44,84.57,22.47,77.6,76.31,86.67,60.0,75.05,41.54,93.0,8.7,75.75,75.64,81.55,44.84,87.33,77.2,72.07,41.18,81.19,52.71,31.29,28.77
2025-01,84.65,21.7,36.71,39.81,75.35,84.23,28.04,71.83,86.35,90.14,61.93,81.04,50.3,87.45,11.71,75.83,69.32,87.68,50.45,82.43,80.62,81.9,35.73,81.06,55.32,36.19,27.97
2025-02,87.38,20.38,32.5,37.88,68.79,77.29,28.71,68.21,87.07,79.07,58.46,82.2,58.69,77.64,7.47,76.0,62.07,88.44,48.62,78.85,79.87,80.94,36.25,75.19,50.81,34.62,25.19
