State,Year,Month,Indicated,Combined_Value
Alaska,2019,5.0,Depression,17.973856209150327
Alaska,2019,6.0,Depression,20.27027027027027
Alaska,2019,7.0,Depression,16.216216216216218
Alaska,2019,8.0,Depression,21.578947368421055
Alaska,2019,9.0,Depression,15.083798882681565
Alaska,2019,10.0,Depression,14.427860696517413
Alaska,2019,11.0,Depression,16.292134831460675
Alaska,2019,12.0,Depression,16.666666666666664
Alaska,2020,1.0,Depression,14.75826972010178
Alaska,2020,2.0,Depression,15.633423180592992
Alaska,2020,3.0,Depression,14.5610278372591
Alaska,2020,4.0,Anxiety,27.7
Alaska,2020,4.0,Depression,17.418993288590606
Alaska,2020,5.0,Anxiety,27.825
Alaska,2020,5.0,Depression,19.880102739726027
Alaska,2020,6.0,Anxiety,30.95
Alaska,2020,6.0,Depression,20.269635761589406
Alaska,2020,7.0,Anxiety,32.06666666666666
Alaska,2020,7.0,Depression,23.095438596491228
Alaska,2020,8.0,Anxiety,30.5
Alaska,2020,8.0,Depression,18.532764505119456
Alaska,2020,9.0,Anxiety,30.3
Alaska,2020,9.0,Depression,20.64953642384106
Alaska,2020,10.0,Anxiety,32.85
Alaska,2020,10.0,Depression,18.111363636363638
Alaska,2020,11.0,Anxiety,38.55
Alaska,2020,11.0,Depression,17.394203187250994
Alaska,2020,12.0,Anxiety,37.7
Alaska,2020,12.0,Depression,15.720599078341014
Alaska,2021,1.0,Anxiety,36.650000000000006
Alaska,2021,1.0,Depression,18.83677804295943
Alaska,2021,2.0,Anxiety,32.45
Alaska,2021,2.0,Depression,20.720000000000002
Alaska,2021,3.0,Anxiety,31.3
Alaska,2021,3.0,Depression,17.84121761658031
Alaska,2021,4.0,Anxiety,28.25
Alaska,2021,4.0,Depression,18.39289156626506
Alaska,2021,5.0,Anxiety,23.55
Alaska,2021,5.0,Depression,19.32659147869674
Alaska,2021,6.0,Anxiety,25.75
Alaska,2021,6.0,Depression,21.28025641025641
Alaska,2021,7.0,Anxiety,30.5
Alaska,2021,7.0,Depression,21.0567728237792
Alaska,2021,8.0,Anxiety,25.85
Alaska,2021,8.0,Depression,21.513285198555955
Alaska,2021,9.0,Anxiety,29.866666666666664
Alaska,2021,9.0,Depression,21.01936936936937
Alaska,2021,10.0,Depression,20.41343669250646
Alaska,2021,11.0,Depression,19.31216931216931
Alaska,2021,12.0,Anxiety,31.35
Alaska,2021,12.0,Depression,20.293174603174602
Alaska,2022,1.0,Anxiety,27.4
Alaska,2022,1.0,Depression,19.781603153745074
Alaska,2022,2.0,Depression,19.73929236499069
Alaska,2022,3.0,Anxiety,26.4
Alaska,2022,3.0,Depression,18.189792243767315
Alaska,2022,4.0,Anxiety,26.1
Alaska,2022,4.0,Depression,22.345
Alaska,2022,5.0,Depression,20.044543429844097
Alaska,2022,6.0,Anxiety,28.15
Alaska,2022,6.0,Depression,21.03052147239264
Alaska,2022,7.0,Anxiety,31.2
Alaska,2022,7.0,Depression,23.579196141479102
Alaska,2022,8.0,Depression,17.123287671232877
Alaska,2022,9.0,Anxiety,34.4
Alaska,2022,9.0,Depression,22.000674157303372
Alaska,2022,10.0,Anxiety,31.0
Alaska,2022,10.0,Depression,21.85181818181818
Alaska,2022,11.0,Anxiety,30.6
Alaska,2022,11.0,Depression,23.090588235294113
Alaska,2022,12.0,Anxiety,31.6
Alaska,2022,12.0,Depression,20.14010989010989
Alaska,2023,1.0,Anxiety,27.2
Alaska,2023,1.0,Depression,21.550000000000004
Alaska,2023,2.0,Anxiety,28.4
Alaska,2023,2.0,Depression,20.901923990498815
Alaska,2023,3.0,Anxiety,27.25
Alaska,2023,3.0,Depression,20.670698924731184
Alaska,2023,4.0,Anxiety,26.2
Alaska,2023,4.0,Depression,20.918560885608855
Alaska,2023,5.0,Depression,17.972350230414747
Alaska,2023,6.0,Anxiety,23.65
Alaska,2023,6.0,Depression,17.24269230769231
Alaska,2023,7.0,Anxiety,30.4
Alaska,2023,7.0,Depression,22.39390070921986
Alaska,2023,8.0,Anxiety,24.0
Alaska,2023,8.0,Depression,21.15376146788991
Alaska,2023,9.0,Anxiety,27.2
Alaska,2023,9.0,Depression,19.74669250645995
Alaska,2023,10.0,Anxiety,28.7
Alaska,2023,10.0,Depression,18.787595628415303
Alaska,2023,11.0,Depression,16.3727959697733
Alaska,2023,12.0,Depression,19.295958279009128
Alaska,2024,1.0,Anxiety,21.2
Alaska,2024,1.0,Depression,20.5
Alaska,2024,2.0,Anxiety,21.1
Alaska,2024,2.0,Depression,20.1
Alaska,2024,3.0,Anxiety,16.5
Alaska,2024,3.0,Depression,20.299999999999997
Alaska,2024,4.0,Anxiety,21.1
Alaska,2024,4.0,Depression,21.9
Alaska,2024,5.0,Anxiety,17.7
Alaska,2024,5.0,Depression,19.25
Alaska,2024,6.0,Anxiety,20.0
Alaska,2024,6.0,Depression,20.799999999999997
Alaska,2024,7.0,Anxiety,21.8
Alaska,2024,7.0,Depression,22.25
Alaska,2024,8.0,Anxiety,23.9
Alaska,2024,8.0,Depression,22.15
Alaska,2024,11.0,Depression,0.0
Alaska,2024,12.0,Depression,14.814814814814813
Arizona,2019,1.0,Depression,15.09433962264151
Arizona,2019,2.0,Depression,15.993265993265993
Arizona,2019,3.0,Depression,15.119760479041917
Arizona,2019,4.0,Depression,17.209302325581397
Arizona,2019,5.0,Depression,17.918454935622318
Arizona,2019,6.0,Depression,19.282511210762333
Arizona,2019,7.0,Depression,17.815482502651115
Arizona,2019,8.0,Depression,17.868675995694293
Arizona,2019,9.0,Depression,18.685121107266436
Arizona,2019,10.0,Depression,17.010309278350515
Arizona,2019,11.0,Depression,14.19753086419753
Arizona,2019,12.0,Depression,15.53191489361702
Arizona,2020,1.0,Depression,16.627906976744185
Arizona,2020,2.0,Depression,18.299881936245573
Arizona,2020,3.0,Depression,16.910420475319928
Arizona,2020,4.0,Anxiety,32.3
Arizona,2020,4.0,Depression,20.7271615720524
Arizona,2020,5.0,Anxiety,30.1
Arizona,2020,5.0,Depression,20.749613702623908
Arizona,2020,6.0,Anxiety,32.7
Arizona,2020,6.0,Depression,19.715927835051545
Arizona,2020,7.0,Anxiety,39.266666666666666
Arizona,2020,7.0,Depression,21.37741935483871
Arizona,2020,8.0,Anxiety,30.4
Arizona,2020,8.0,Depression,20.230996884735205
Arizona,2020,9.0,Anxiety,33.333333333333336
Arizona,2020,9.0,Depression,20.338325859491782
Arizona,2020,10.0,Anxiety,35.3
Arizona,2020,10.0,Depression,22.97750755287009
Arizona,2020,11.0,Anxiety,36.400000000000006
